Oyster,Bag,Population,Status,Age,Site,Year
29377,3,CL2,1,10,RWU,2022
29378,2,GH,1,10,RWU,2022
29379,2,CL2,1,15,RWU,2022
29380,2,CL2,0,15,RWU,2022
29381,2,CL2,0,15,RWU,2022
29382,2,CL2,0,15,RWU,2022
29383,2,GH,1,10,RWU,2022
29384,2,CL2,0,15,RWU,2022
29385,2,CL2,0,15,RWU,2022
29386,3,CL2,1,10,RWU,2022
29387,2,CL2,0,15,RWU,2022
29388,2,CL2,0,15,RWU,2022
29389,2,CL2,0,15,RWU,2022
29390,2,CL2,0,15,RWU,2022
29391,2,CL2,0,15,RWU,2022
29392,3,CL2,1,10,RWU,2022
29393,2,CL2,0,15,RWU,2022
29394,2,CL2,0,15,RWU,2022
29395,2,CL2,0,15,RWU,2022
29396,2,GH,1,10,RWU,2022
29397,2,CL2,0,15,RWU,2022
29398,2,CL2,0,15,RWU,2022
29399,2,CL2,0,15,RWU,2022
29400,2,CL2,0,15,RWU,2022
29401,2,CL2,0,15,RWU,2022
29402,3,CL2,1,10,RWU,2022
29403,2,CL2,0,15,RWU,2022
29404,2,CL2,0,15,RWU,2022
29405,2,CL2,0,15,RWU,2022
29406,2,GH,1,10,RWU,2022
29407,2,CL2,0,15,RWU,2022
29408,2,NR,1,15,RWU,2022
29409,3,MV,1,15,RWU,2022
29410,2,NR,1,15,RWU,2022
29411,3,MV,0,15,RWU,2022
29412,2,NR,1,15,RWU,2022
29413,2,NR,0,15,RWU,2022
29414,2,NR,1,15,RWU,2022
29415,2,NR,0,15,RWU,2022
29416,2,NR,1,15,RWU,2022
29417,3,MV,1,15,RWU,2022
29418,3,MV,0,15,RWU,2022
29419,2,NR,1,15,RWU,2022
29420,2,NR,1,15,RWU,2022
29421,2,NR,1,15,RWU,2022
29422,2,CL1,0,15,RWU,2022
29423,2,NR,1,15,RWU,2022
29424,2,CL1,0,15,RWU,2022
29425,2,NR,1,15,RWU,2022
29426,2,NR,1,15,RWU,2022
29427,2,NR,0,15,RWU,2022
29428,2,NR,0,15,RWU,2022
29429,2,NR,0,15,RWU,2022
29430,2,NR,1,15,RWU,2022
29431,2,NR,1,15,RWU,2022
29432,2,NR,1,15,RWU,2022
29433,2,NR,1,15,RWU,2022
29434,2,NR,1,15,RWU,2022
29435,3,MV,0,15,RWU,2022
29436,2,CL1,1,15,RWU,2022
29437,2,NR,1,15,RWU,2022
29438,2,NR,0,15,RWU,2022
29439,2,NR,1,15,RWU,2022
29440,2,NR,0,15,RWU,2022
29441,2,CL1,0,15,RWU,2022
29442,2,NR,0,15,RWU,2022
29443,2,NR,1,15,RWU,2022
29444,2,NR,1,15,RWU,2022
29445,2,NR,1,15,RWU,2022
29446,2,CL1,0,15,RWU,2022
29447,2,CL1,1,15,RWU,2022
29448,2,NR,1,15,RWU,2022
29449,2,NR,1,15,RWU,2022
29450,2,NR,1,15,RWU,2022
29451,2,CL1,0,15,RWU,2022
29452,2,CL1,0,15,RWU,2022
29453,2,CL1,0,15,RWU,2022
29454,2,NR,1,15,RWU,2022
29455,2,NR,1,15,RWU,2022
29456,2,CL1,0,15,RWU,2022
29457,2,CL1,0,15,RWU,2022
29458,2,NR,0,15,RWU,2022
29459,2,CL1,0,15,RWU,2022
29460,2,CL1,1,15,RWU,2022
29461,2,NR,1,15,RWU,2022
29462,2,NR,1,15,RWU,2022
29463,2,NR,1,15,RWU,2022
29464,2,NR,1,15,RWU,2022
29465,2,NR,1,15,RWU,2022
29466,2,NR,1,15,RWU,2022
29467,2,NR,0,15,RWU,2022
29468,2,NR,1,15,RWU,2022
29469,2,NR,1,15,RWU,2022
29470,2,NR,0,15,RWU,2022
29471,2,CL1,0,15,RWU,2022
29472,2,CL1,0,15,RWU,2022
29473,2,CL1,1,15,RWU,2022
29474,2,CL1,0,15,RWU,2022
29475,2,CL1,1,15,RWU,2022
29476,2,CL1,0,15,RWU,2022
29477,2,NR,1,15,RWU,2022
29478,2,CL1,0,15,RWU,2022
29479,2,NR,0,15,RWU,2022
29480,2,CL1,0,15,RWU,2022
29481,2,CL1,0,15,RWU,2022
29482,2,CL1,0,15,RWU,2022
29483,2,CL1,0,15,RWU,2022
29484,2,NR,0,15,RWU,2022
29485,2,NR,1,15,RWU,2022
29486,2,NR,0,15,RWU,2022
29487,2,CL1,0,15,RWU,2022
29488,2,CL1,0,15,RWU,2022
29489,2,NR,0,15,RWU,2022
29490,2,CL1,0,15,RWU,2022
29491,2,NR,1,15,RWU,2022
29492,2,NR,1,15,RWU,2022
29493,2,CL1,0,15,RWU,2022
29494,2,CL1,0,15,RWU,2022
29495,2,CL1,0,15,RWU,2022
29496,2,CL1,0,15,RWU,2022
29497,2,CL1,1,15,RWU,2022
29498,2,CL1,1,15,RWU,2022
29499,2,CL1,0,15,RWU,2022
29500,2,NR,1,15,RWU,2022
29501,2,CL1,1,15,RWU,2022
29502,2,CL1,0,15,RWU,2022
29503,2,CL1,0,15,RWU,2022
29504,2,CL1,0,15,RWU,2022
29505,2,NR,1,15,RWU,2022
29506,2,CL1,0,15,RWU,2022
29507,2,CL1,1,15,RWU,2022
29508,2,CT,0,15,RWU,2022
29509,2,CT,0,15,RWU,2022
29510,2,CL1,1,15,RWU,2022
29511,2,CT,0,15,RWU,2022
29512,2,CT,0,15,RWU,2022
29513,1,CT,0,15,RWU,2022
29514,2,CT,0,15,RWU,2022
29515,2,CT,0,15,RWU,2022
29516,2,CT,0,15,RWU,2022
29517,1,CT,1,15,RWU,2022
29518,2,CT,0,15,RWU,2022
29519,2,CT,0,15,RWU,2022
29520,2,CT,0,15,RWU,2022
29521,2,CT,0,15,RWU,2022
29522,2,CT,0,15,RWU,2022
29523,2,CT,0,15,RWU,2022
29524,2,CL1,0,15,RWU,2022
29525,2,CT,0,15,RWU,2022
29526,1,CT,0,15,RWU,2022
29527,1,CT,0,15,RWU,2022
29528,2,CT,0,15,RWU,2022
29529,2,CT,0,15,RWU,2022
29530,1,CT,0,15,RWU,2022
29531,1,CT,0,15,RWU,2022
29532,2,CT,0,15,RWU,2022
29533,2,CT,0,15,RWU,2022
29534,1,CT,0,15,RWU,2022
29535,2,CL1,0,15,RWU,2022
29536,2,CL1,0,15,RWU,2022
29537,2,CT,0,15,RWU,2022
29538,1,CT,0,15,RWU,2022
29539,2,CT,0,15,RWU,2022
29540,2,CT,0,15,RWU,2022
29541,1,CT,0,15,RWU,2022
29542,2,CT,0,15,RWU,2022
29543,2,CT,0,15,RWU,2022
29544,2,CT,0,15,RWU,2022
29545,2,CT,0,15,RWU,2022
29546,2,CT,0,15,RWU,2022
29547,1,CT,0,15,RWU,2022
29548,2,CT,1,15,RWU,2022
29549,2,CL1,1,15,RWU,2022
29550,2,CT,0,15,RWU,2022
29551,2,CT,0,15,RWU,2022
29552,2,CT,0,15,RWU,2022
29553,2,CT,0,15,RWU,2022
29554,2,CT,1,15,RWU,2022
29555,2,CL1,1,15,RWU,2022
29556,1,CT,0,15,RWU,2022
29557,2,CT,0,15,RWU,2022
29558,1,CT,0,15,RWU,2022
29559,1,CT,0,15,RWU,2022
29560,2,CT,0,15,RWU,2022
29561,1,CT,0,15,RWU,2022
29562,2,CT,0,15,RWU,2022
29563,2,CT,0,15,RWU,2022
29564,1,CT,0,15,RWU,2022
29565,1,CT,0,15,RWU,2022
29566,1,CT,0,15,RWU,2022
29567,2,CT,0,15,RWU,2022
29568,1,CT,0,15,RWU,2022
29569,2,CT,0,15,RWU,2022
29570,2,CL1,0,15,RWU,2022
29571,1,CT,0,15,RWU,2022
29572,2,CT,0,15,RWU,2022
29573,2,CL1,0,15,RWU,2022
29574,2,CL1,0,15,RWU,2022
29575,2,CT,0,15,RWU,2022
29576,1,CT,0,15,RWU,2022
29577,2,CT,0,15,RWU,2022
29578,2,CL1,0,15,RWU,2022
29579,2,CL1,0,15,RWU,2022
29580,2,CL1,0,15,RWU,2022
29581,1,CT,0,15,RWU,2022
29582,2,CT,0,15,RWU,2022
29583,2,CT,0,15,RWU,2022
29584,2,CT,0,15,RWU,2022
29585,2,CL1,0,15,RWU,2022
29586,1,CT,0,15,RWU,2022
29587,1,CT,0,15,RWU,2022
29588,1,CT,0,15,RWU,2022
29589,2,CT,0,15,RWU,2022
29590,2,CT,1,15,RWU,2022
29591,2,CT,0,15,RWU,2022
29592,1,CT,1,15,RWU,2022
29593,1,CT,0,15,RWU,2022
29594,1,CT,0,15,RWU,2022
29595,2,CT,0,15,RWU,2022
29596,2,CT,0,15,RWU,2022
29597,2,CT,0,15,RWU,2022
29598,2,CT,0,15,RWU,2022
29599,2,CT,0,15,RWU,2022
29600,2,CL1,0,15,RWU,2022
29601,2,CT,0,15,RWU,2022
29602,2,CT,0,15,RWU,2022
29603,2,CL1,0,15,RWU,2022
29604,2,CT,0,15,RWU,2022
29605,1,CT,1,15,RWU,2022
29606,1,CT,0,15,RWU,2022
29607,1,CT,0,15,RWU,2022
29608,1,CT,0,15,RWU,2022
29609,1,CT,0,15,RWU,2022
29610,1,MV,1,15,RWU,2022
29611,1,MV,1,15,RWU,2022
29612,1,MV,1,15,RWU,2022
29613,1,MV,1,15,RWU,2022
29614,1,CT,0,15,RWU,2022
29615,1,CT,0,15,RWU,2022
29616,1,MV,0,15,RWU,2022
29617,1,CT,0,15,RWU,2022
29618,1,MV,1,15,RWU,2022
29619,1,MV,1,15,RWU,2022
29620,1,CT,0,15,RWU,2022
29621,1,CT,1,15,RWU,2022
29622,1,MV,0,15,RWU,2022
29623,1,CT,0,15,RWU,2022
29624,1,MV,1,15,RWU,2022
29625,1,MV,1,15,RWU,2022
29626,1,MV,0,15,RWU,2022
29627,1,MV,0,15,RWU,2022
29628,1,CT,0,15,RWU,2022
29629,1,CT,0,15,RWU,2022
29630,1,CT,0,15,RWU,2022
29631,1,MV,0,15,RWU,2022
29632,1,MV,0,15,RWU,2022
29633,1,MV,1,15,RWU,2022
29634,1,MV,0,15,RWU,2022
29635,1,MV,1,15,RWU,2022
29636,1,MV,1,15,RWU,2022
29637,1,MV,1,15,RWU,2022
29638,1,CT,0,15,RWU,2022
