,Population,Bag,Oyster,Length,Type,Site,Year
393,CL2,1,29650,78.11,Commercial,RWU,2022
394,MV,1,29653,52.82,Wild,RWU,2022
395,MV,1,29655,53.3,Wild,RWU,2022
396,MV,1,29656,58.99,Wild,RWU,2022
397,MV,1,29658,40.4,Wild,RWU,2022
398,CT,1,29659,66.13,Wild,RWU,2022
399,MV,1,29662,54.63,Wild,RWU,2022
400,MV,1,29667,58.3,Wild,RWU,2022
401,CL2,1,29668,80.22,Commercial,RWU,2022
402,CT,1,29669,65.09,Wild,RWU,2022
403,CT,1,29672,54.1,Wild,RWU,2022
404,MV,1,29675,57.14,Wild,RWU,2022
405,CT,1,29676,54.52,Wild,RWU,2022
406,CL2,1,29677,74.2,Commercial,RWU,2022
407,CL2,1,29678,60.44,Commercial,RWU,2022
408,MV,1,29680,45.64,Wild,RWU,2022
409,CL2,1,29681,85.56,Commercial,RWU,2022
410,MV,1,29682,52.17,Wild,RWU,2022
411,MV,1,29684,59.56,Wild,RWU,2022
412,CT,1,29686,51.28,Wild,RWU,2022
413,MV,1,29687,48.75,Wild,RWU,2022
414,CL2,1,29692,60.02,Commercial,RWU,2022
415,CL2,1,29693,104.44,Commercial,RWU,2022
416,CT,1,29696,58.7,Wild,RWU,2022
417,MV,1,29698,55.16,Wild,RWU,2022
418,CL2,1,29699,65.76,Commercial,RWU,2022
419,CL2,1,29702,75.83,Commercial,RWU,2022
420,CL2,1,29706,67.65,Commercial,RWU,2022
421,CT,1,29707,40.31,Wild,RWU,2022
422,CL2,1,29708,77.7,Commercial,RWU,2022
423,CL2,1,29709,97.83,Commercial,RWU,2022
424,CL2,1,29710,89.38,Commercial,RWU,2022
425,CL2,1,29715,100.02,Commercial,RWU,2022
426,CL2,1,29718,76.35,Commercial,RWU,2022
427,CL2,1,29719,77.89,Commercial,RWU,2022
428,GH,1,29722,61.09,Wild,RWU,2022
429,GH,1,29723,74.37,Wild,RWU,2022
430,CL2,1,29728,56.72,Commercial,RWU,2022
431,CL2,1,29730,80.39,Commercial,RWU,2022
432,CL2,1,29731,71.67,Commercial,RWU,2022
433,GH,1,29732,70.81,Wild,RWU,2022
434,CL2,1,29733,98.53,Commercial,RWU,2022
435,CL2,1,29734,91.7,Commercial,RWU,2022
436,GH,1,29738,56.49,Wild,RWU,2022
437,GH,1,29742,66.27,Wild,RWU,2022
438,GH,1,29757,55.85,Wild,RWU,2022
439,GH,1,29759,63.79,Wild,RWU,2022
440,GH,1,29760,60.98,Wild,RWU,2022
441,GH,1,29761,74.11,Wild,RWU,2022
442,GH,1,29780,65.2,Wild,RWU,2022
443,CL2,1,29781,77.2,Commercial,RWU,2022
444,GH,1,29784,63.42,Wild,RWU,2022
445,GH,1,29787,61.02,Wild,RWU,2022
446,GH,1,29789,60.84,Wild,RWU,2022
447,GH,1,29790,70.29,Wild,RWU,2022
448,CL2,1,29792,67.21,Commercial,RWU,2022
449,CL1,1,29874,71.79,Commercial,RWU,2022
450,CL2,1,29794,85.36,Commercial,RWU,2022
451,GH,1,29797,54.65,Wild,RWU,2022
452,CL2,1,29798,64.89,Commercial,RWU,2022
453,CL2,1,29799,68.8,Commercial,RWU,2022
454,CL1,1,29876,52.1,Commercial,RWU,2022
455,CL1,1,29883,83.39,Commercial,RWU,2022
456,CL1,1,29885,98.64,Commercial,RWU,2022
457,CL1,1,29886,76.92,Commercial,RWU,2022
458,CL1,1,29891,66.04,Commercial,RWU,2022
459,CL1,1,29892,100.01,Commercial,RWU,2022
