Population,Bag,Oyster,Status,Age,Site,Year
MV,2,8,1,12,Ninigret,2023
MV,3,1,1,12,Ninigret,2023
MV,3,2,1,12,Ninigret,2023
MV,3,3,1,12,Ninigret,2023
MV,3,4,1,12,Ninigret,2023
MV,3,5,1,12,Ninigret,2023
MV,3,6,1,12,Ninigret,2023
MV,3,7,1,12,Ninigret,2023
MV,3,8,1,12,Ninigret,2023
MV,3,9,1,12,Ninigret,2023
MV,3,10,1,12,Ninigret,2023
MV,3,11,1,12,Ninigret,2023
MV,3,12,1,12,Ninigret,2023
MV,3,13,1,12,Ninigret,2023
CL1,1,1,1,12,Ninigret,2023
CL1,1,2,1,12,Ninigret,2023
CL1,1,3,1,12,Ninigret,2023
CL1,1,4,1,12,Ninigret,2023
CL1,1,5,1,12,Ninigret,2023
CL1,1,6,1,12,Ninigret,2023
CL1,1,7,1,12,Ninigret,2023
CL1,1,8,1,12,Ninigret,2023
CL1,1,9,1,12,Ninigret,2023
CL1,1,10,1,12,Ninigret,2023
CL1,1,11,1,12,Ninigret,2023
CL1,1,12,1,12,Ninigret,2023
CL1,1,13,1,12,Ninigret,2023
CL1,1,14,1,12,Ninigret,2023
CL1,1,15,1,12,Ninigret,2023
CL1,1,16,1,12,Ninigret,2023
CL1,1,17,1,12,Ninigret,2023
CL1,1,18,1,12,Ninigret,2023
CL1,1,19,1,12,Ninigret,2023
CL1,1,20,1,12,Ninigret,2023
CL1,1,21,1,12,Ninigret,2023
CL1,1,22,1,12,Ninigret,2023
CL1,1,23,1,12,Ninigret,2023
CL1,1,24,1,12,Ninigret,2023
CL1,1,25,1,12,Ninigret,2023
CL1,1,26,1,12,Ninigret,2023
CL1,1,27,1,12,Ninigret,2023
CL1,2,1,1,12,Ninigret,2023
CL1,2,2,1,12,Ninigret,2023
CL1,2,3,1,12,Ninigret,2023
CL1,2,4,1,12,Ninigret,2023
CL1,2,5,1,12,Ninigret,2023
CL1,2,6,1,12,Ninigret,2023
CL1,2,7,1,12,Ninigret,2023
CL1,2,8,1,12,Ninigret,2023
CL1,2,9,1,12,Ninigret,2023
CL1,2,10,1,12,Ninigret,2023
CL1,2,11,1,12,Ninigret,2023
CL1,2,12,1,12,Ninigret,2023
CL1,2,13,1,12,Ninigret,2023
CL1,2,14,1,12,Ninigret,2023
CL1,2,15,1,12,Ninigret,2023
CL1,2,16,1,12,Ninigret,2023
CL1,2,17,1,12,Ninigret,2023
CL1,2,18,1,12,Ninigret,2023
CL1,2,19,1,12,Ninigret,2023
CL1,2,20,1,12,Ninigret,2023
CL1,3,1,1,12,Ninigret,2023
CL1,3,2,1,12,Ninigret,2023
CL1,3,3,1,12,Ninigret,2023
CL1,3,4,1,12,Ninigret,2023
CL1,3,5,1,12,Ninigret,2023
CL1,3,6,1,12,Ninigret,2023
CL1,3,7,1,12,Ninigret,2023
CL1,3,8,1,12,Ninigret,2023
CL1,3,9,1,12,Ninigret,2023
CL1,3,10,1,12,Ninigret,2023
CL1,3,11,1,12,Ninigret,2023
CL1,3,12,1,12,Ninigret,2023
CL1,3,13,1,12,Ninigret,2023
CL1,3,14,1,12,Ninigret,2023
CL1,3,15,1,12,Ninigret,2023
CL1,3,16,1,12,Ninigret,2023
CL1,3,17,1,12,Ninigret,2023
CL1,3,18,1,12,Ninigret,2023
CL1,3,19,1,12,Ninigret,2023
CL1,3,20,1,12,Ninigret,2023
CL1,3,21,1,12,Ninigret,2023
CL1,3,22,1,12,Ninigret,2023
CL2,1,9,1,14,Ninigret,2023
CL2,1,10,1,14,Ninigret,2023
CL2,1,11,1,14,Ninigret,2023
CL2,1,12,1,14,Ninigret,2023
CL2,1,13,1,14,Ninigret,2023
CL2,1,14,1,14,Ninigret,2023
CL2,1,15,1,14,Ninigret,2023
CL2,1,16,1,14,Ninigret,2023
CL2,1,17,1,14,Ninigret,2023
CL2,1,18,1,14,Ninigret,2023
CL2,1,19,1,14,Ninigret,2023
CL2,1,20,1,14,Ninigret,2023
CL2,1,21,1,14,Ninigret,2023
CL2,1,22,1,14,Ninigret,2023
CL2,1,23,0,14,Ninigret,2023
CL2,1,24,0,14,Ninigret,2023
CL2,1,25,0,14,Ninigret,2023
CL2,1,26,0,14,Ninigret,2023
CL2,1,27,0,14,Ninigret,2023
CL2,1,28,0,14,Ninigret,2023
CL2,1,29,0,14,Ninigret,2023
CL2,1,30,0,14,Ninigret,2023
CL2,1,31,0,14,Ninigret,2023
CL2,1,32,0,14,Ninigret,2023
CL2,1,33,0,14,Ninigret,2023
CL2,1,34,0,14,Ninigret,2023
CL2,1,35,0,14,Ninigret,2023
CL2,1,36,0,14,Ninigret,2023
CL2,1,37,0,14,Ninigret,2023
CL2,1,38,0,14,Ninigret,2023
CL2,1,39,0,14,Ninigret,2023
CL2,1,40,0,14,Ninigret,2023
CL2,1,41,0,14,Ninigret,2023
CL2,1,42,0,14,Ninigret,2023
CL2,1,43,0,14,Ninigret,2023
CL2,1,44,0,14,Ninigret,2023
CL2,1,45,0,14,Ninigret,2023
CL2,1,46,0,14,Ninigret,2023
CL2,1,47,0,14,Ninigret,2023
CL2,1,48,0,14,Ninigret,2023
CL2,1,49,0,14,Ninigret,2023
CL2,1,50,0,14,Ninigret,2023
CL2,1,51,0,14,Ninigret,2023
CL2,1,52,0,14,Ninigret,2023
CL2,1,53,0,14,Ninigret,2023
CL2,1,54,0,14,Ninigret,2023
CL2,1,55,0,14,Ninigret,2023
CL2,2,16,1,14,Ninigret,2023
CL2,2,17,1,14,Ninigret,2023
CL2,2,18,1,14,Ninigret,2023
CL2,2,19,1,14,Ninigret,2023
CL2,2,20,1,14,Ninigret,2023
CL2,2,21,1,14,Ninigret,2023
CL2,2,22,1,14,Ninigret,2023
CL2,2,23,1,14,Ninigret,2023
CL2,2,24,1,14,Ninigret,2023
CL2,2,25,1,14,Ninigret,2023
CL2,2,26,1,14,Ninigret,2023
CL2,2,27,1,14,Ninigret,2023
CL2,2,28,1,14,Ninigret,2023
CL2,2,29,1,14,Ninigret,2023
CL2,2,30,1,14,Ninigret,2023
CL2,2,31,1,14,Ninigret,2023
CL2,2,32,1,14,Ninigret,2023
CL2,2,33,1,14,Ninigret,2023
CL2,2,34,1,14,Ninigret,2023
CL2,2,35,0,14,Ninigret,2023
CL2,2,36,0,14,Ninigret,2023
CL2,2,37,0,14,Ninigret,2023
CL2,2,38,0,14,Ninigret,2023
CL2,2,39,0,14,Ninigret,2023
CL2,2,40,0,14,Ninigret,2023
CL2,2,41,0,14,Ninigret,2023
CL2,2,42,0,14,Ninigret,2023
CL2,2,43,0,14,Ninigret,2023
CL2,2,44,0,14,Ninigret,2023
CL2,2,45,0,14,Ninigret,2023
CL2,2,46,0,14,Ninigret,2023
CL2,2,47,0,14,Ninigret,2023
CL2,2,48,0,14,Ninigret,2023
CL2,2,49,0,14,Ninigret,2023
CL2,2,50,0,14,Ninigret,2023
CL2,2,51,0,14,Ninigret,2023
CL2,2,52,0,14,Ninigret,2023
CL2,2,53,0,14,Ninigret,2023
CL2,2,54,0,14,Ninigret,2023
CL2,2,55,0,14,Ninigret,2023
CL2,3,14,1,14,Ninigret,2023
CL2,3,15,1,14,Ninigret,2023
CL2,3,16,1,14,Ninigret,2023
CL2,3,17,1,14,Ninigret,2023
CL2,3,18,0,14,Ninigret,2023
CL2,3,19,0,14,Ninigret,2023
CL2,3,20,0,14,Ninigret,2023
CL2,3,21,0,14,Ninigret,2023
CL2,3,22,0,14,Ninigret,2023
CL2,3,23,0,14,Ninigret,2023
CL2,3,24,0,14,Ninigret,2023
CL2,3,25,0,14,Ninigret,2023
CL2,3,26,0,14,Ninigret,2023
CL2,3,27,0,14,Ninigret,2023
CL2,3,28,0,14,Ninigret,2023
CL2,3,29,0,14,Ninigret,2023
CL2,3,30,0,14,Ninigret,2023
CL2,3,31,0,14,Ninigret,2023
CL2,3,32,0,14,Ninigret,2023
CL2,3,33,0,14,Ninigret,2023
CL2,3,34,0,14,Ninigret,2023
CL2,3,35,0,14,Ninigret,2023
CL2,3,36,0,14,Ninigret,2023
CL2,3,37,0,14,Ninigret,2023
CL2,3,38,0,14,Ninigret,2023
CL2,3,39,0,14,Ninigret,2023
CL2,3,40,0,14,Ninigret,2023
CL2,3,41,0,14,Ninigret,2023
CL2,3,42,0,14,Ninigret,2023
CL2,3,43,0,14,Ninigret,2023
CL2,3,44,0,14,Ninigret,2023
CL2,3,45,0,14,Ninigret,2023
CL2,3,46,0,14,Ninigret,2023
CL2,3,47,0,14,Ninigret,2023
CL2,3,48,0,14,Ninigret,2023
CL2,3,49,0,14,Ninigret,2023
CL2,3,50,0,14,Ninigret,2023
CL2,3,51,0,14,Ninigret,2023
CL2,3,52,0,14,Ninigret,2023
CL2,3,53,0,14,Ninigret,2023
CL2,3,54,0,14,Ninigret,2023
CL2,3,55,0,14,Ninigret,2023
GH,1,3,1,14,Ninigret,2023
GH,1,4,1,14,Ninigret,2023
GH,1,5,1,14,Ninigret,2023
GH,1,6,1,14,Ninigret,2023
GH,1,7,1,14,Ninigret,2023
GH,1,8,0,14,Ninigret,2023
GH,1,9,0,14,Ninigret,2023
GH,1,10,0,14,Ninigret,2023
GH,1,11,0,14,Ninigret,2023
GH,1,12,0,14,Ninigret,2023
GH,1,13,0,14,Ninigret,2023
GH,1,14,0,14,Ninigret,2023
GH,1,15,0,14,Ninigret,2023
GH,1,16,0,14,Ninigret,2023
GH,1,17,0,14,Ninigret,2023
GH,1,18,0,14,Ninigret,2023
GH,1,19,0,14,Ninigret,2023
GH,1,20,0,14,Ninigret,2023
GH,1,21,0,14,Ninigret,2023
GH,1,22,0,14,Ninigret,2023
GH,1,23,0,14,Ninigret,2023
GH,1,24,0,14,Ninigret,2023
GH,1,25,0,14,Ninigret,2023
GH,1,26,0,14,Ninigret,2023
GH,1,27,0,14,Ninigret,2023
GH,1,28,0,14,Ninigret,2023
GH,1,29,0,14,Ninigret,2023
GH,1,30,0,14,Ninigret,2023
GH,1,31,0,14,Ninigret,2023
GH,1,32,0,14,Ninigret,2023
GH,1,33,0,14,Ninigret,2023
GH,1,34,0,14,Ninigret,2023
GH,1,35,0,14,Ninigret,2023
GH,1,36,0,14,Ninigret,2023
GH,1,37,0,14,Ninigret,2023
GH,1,38,0,14,Ninigret,2023
GH,1,39,0,14,Ninigret,2023
GH,1,40,0,14,Ninigret,2023
GH,1,41,0,14,Ninigret,2023
GH,1,42,0,14,Ninigret,2023
GH,1,43,0,14,Ninigret,2023
GH,1,44,0,14,Ninigret,2023
GH,1,45,0,14,Ninigret,2023
GH,1,46,0,14,Ninigret,2023
GH,1,47,0,14,Ninigret,2023
GH,1,48,0,14,Ninigret,2023
GH,1,49,0,14,Ninigret,2023
GH,1,50,0,14,Ninigret,2023
GH,1,51,0,14,Ninigret,2023
GH,1,52,0,14,Ninigret,2023
GH,1,53,0,14,Ninigret,2023
GH,1,54,0,14,Ninigret,2023
GH,1,55,0,14,Ninigret,2023
GH,2,3,1,14,Ninigret,2023
GH,2,4,1,14,Ninigret,2023
GH,2,5,1,14,Ninigret,2023
GH,2,6,1,14,Ninigret,2023
GH,2,7,1,14,Ninigret,2023
GH,2,8,0,14,Ninigret,2023
GH,2,9,0,14,Ninigret,2023
GH,2,10,0,14,Ninigret,2023
GH,2,11,0,14,Ninigret,2023
GH,2,12,0,14,Ninigret,2023
GH,2,13,0,14,Ninigret,2023
GH,2,14,0,14,Ninigret,2023
GH,2,15,0,14,Ninigret,2023
GH,2,16,0,14,Ninigret,2023
GH,2,17,0,14,Ninigret,2023
GH,2,18,0,14,Ninigret,2023
GH,2,19,0,14,Ninigret,2023
GH,2,20,0,14,Ninigret,2023
GH,2,21,0,14,Ninigret,2023
GH,2,22,0,14,Ninigret,2023
GH,2,23,0,14,Ninigret,2023
GH,2,24,0,14,Ninigret,2023
GH,2,25,0,14,Ninigret,2023
GH,2,26,0,14,Ninigret,2023
GH,2,27,0,14,Ninigret,2023
GH,2,28,0,14,Ninigret,2023
GH,2,29,0,14,Ninigret,2023
GH,2,30,0,14,Ninigret,2023
GH,2,31,0,14,Ninigret,2023
GH,2,32,0,14,Ninigret,2023
GH,2,33,0,14,Ninigret,2023
GH,2,34,0,14,Ninigret,2023
GH,2,35,0,14,Ninigret,2023
GH,2,36,0,14,Ninigret,2023
GH,2,37,0,14,Ninigret,2023
GH,2,38,0,14,Ninigret,2023
GH,2,39,0,14,Ninigret,2023
GH,2,40,0,14,Ninigret,2023
GH,2,41,0,14,Ninigret,2023
GH,2,42,0,14,Ninigret,2023
GH,2,43,0,14,Ninigret,2023
GH,2,44,0,14,Ninigret,2023
GH,2,45,0,14,Ninigret,2023
GH,2,46,0,14,Ninigret,2023
GH,2,47,0,14,Ninigret,2023
GH,2,48,0,14,Ninigret,2023
GH,2,49,0,14,Ninigret,2023
GH,2,50,0,14,Ninigret,2023
GH,2,51,0,14,Ninigret,2023
GH,2,52,0,14,Ninigret,2023
GH,2,53,0,14,Ninigret,2023
GH,2,54,0,14,Ninigret,2023
GH,2,55,0,14,Ninigret,2023
GH,3,8,0,14,Ninigret,2023
GH,3,9,0,14,Ninigret,2023
GH,3,10,0,14,Ninigret,2023
GH,3,11,0,14,Ninigret,2023
GH,3,12,0,14,Ninigret,2023
GH,3,13,0,14,Ninigret,2023
GH,3,14,0,14,Ninigret,2023
GH,3,15,0,14,Ninigret,2023
GH,3,16,0,14,Ninigret,2023
GH,3,17,0,14,Ninigret,2023
GH,3,18,0,14,Ninigret,2023
GH,3,19,0,14,Ninigret,2023
GH,3,20,0,14,Ninigret,2023
GH,3,21,0,14,Ninigret,2023
GH,3,22,0,14,Ninigret,2023
GH,3,23,0,14,Ninigret,2023
GH,3,24,0,14,Ninigret,2023
GH,3,25,0,14,Ninigret,2023
GH,3,26,0,14,Ninigret,2023
GH,3,27,0,14,Ninigret,2023
GH,3,28,0,14,Ninigret,2023
GH,3,29,0,14,Ninigret,2023
GH,3,30,0,14,Ninigret,2023
GH,3,31,0,14,Ninigret,2023
GH,3,32,0,14,Ninigret,2023
GH,3,33,0,14,Ninigret,2023
GH,3,34,0,14,Ninigret,2023
GH,3,35,0,14,Ninigret,2023
GH,3,36,0,14,Ninigret,2023
GH,3,37,1,14,Ninigret,2023
GH,3,38,1,14,Ninigret,2023
GH,3,39,1,14,Ninigret,2023
GH,3,40,1,14,Ninigret,2023
GH,3,41,1,14,Ninigret,2023
GH,3,42,1,14,Ninigret,2023
GH,3,43,1,14,Ninigret,2023
GH,3,44,1,14,Ninigret,2023
GH,3,45,1,14,Ninigret,2023
GH,3,46,1,14,Ninigret,2023
GH,3,47,1,14,Ninigret,2023
GH,3,48,1,14,Ninigret,2023
GH,3,49,1,14,Ninigret,2023
GH,3,50,1,14,Ninigret,2023
GH,3,51,1,14,Ninigret,2023
GH,3,52,1,14,Ninigret,2023
GH,3,53,1,14,Ninigret,2023
GH,3,54,1,14,Ninigret,2023
GH,3,55,1,14,Ninigret,2023
MV,1,17,1,14,Ninigret,2023
MV,1,18,1,14,Ninigret,2023
MV,1,19,1,14,Ninigret,2023
MV,1,20,1,14,Ninigret,2023
MV,1,21,1,14,Ninigret,2023
MV,1,22,1,14,Ninigret,2023
MV,1,23,1,14,Ninigret,2023
MV,1,24,1,14,Ninigret,2023
MV,1,25,1,14,Ninigret,2023
MV,1,26,1,14,Ninigret,2023
MV,1,27,1,14,Ninigret,2023
MV,1,28,1,14,Ninigret,2023
MV,1,29,1,14,Ninigret,2023
MV,1,30,1,14,Ninigret,2023
MV,1,31,1,14,Ninigret,2023
MV,1,32,1,14,Ninigret,2023
MV,1,33,1,14,Ninigret,2023
MV,1,34,1,14,Ninigret,2023
MV,1,35,1,14,Ninigret,2023
MV,1,36,1,14,Ninigret,2023
MV,1,37,1,14,Ninigret,2023
MV,1,38,1,14,Ninigret,2023
MV,1,39,1,14,Ninigret,2023
MV,1,40,1,14,Ninigret,2023
MV,1,41,1,14,Ninigret,2023
MV,1,42,0,14,Ninigret,2023
MV,1,43,0,14,Ninigret,2023
MV,1,44,0,14,Ninigret,2023
MV,1,45,0,14,Ninigret,2023
MV,1,46,0,14,Ninigret,2023
MV,1,47,0,14,Ninigret,2023
MV,1,48,0,14,Ninigret,2023
MV,1,49,0,14,Ninigret,2023
MV,1,50,0,14,Ninigret,2023
MV,1,51,0,14,Ninigret,2023
MV,1,52,0,14,Ninigret,2023
MV,1,53,0,14,Ninigret,2023
MV,1,54,0,14,Ninigret,2023
MV,1,55,0,14,Ninigret,2023
MV,2,9,1,14,Ninigret,2023
MV,2,10,1,14,Ninigret,2023
MV,2,11,1,14,Ninigret,2023
MV,2,12,1,14,Ninigret,2023
MV,2,13,1,14,Ninigret,2023
MV,2,14,1,14,Ninigret,2023
MV,2,15,1,14,Ninigret,2023
MV,2,16,1,14,Ninigret,2023
MV,2,17,1,14,Ninigret,2023
MV,2,18,1,14,Ninigret,2023
MV,2,19,1,14,Ninigret,2023
MV,2,20,1,14,Ninigret,2023
MV,2,21,1,14,Ninigret,2023
MV,2,22,1,14,Ninigret,2023
MV,2,23,1,14,Ninigret,2023
MV,2,24,1,14,Ninigret,2023
MV,2,25,1,14,Ninigret,2023
MV,2,26,0,14,Ninigret,2023
MV,2,27,0,14,Ninigret,2023
MV,2,28,0,14,Ninigret,2023
MV,2,29,0,14,Ninigret,2023
MV,2,30,0,14,Ninigret,2023
MV,2,31,0,14,Ninigret,2023
MV,2,32,0,14,Ninigret,2023
MV,2,33,0,14,Ninigret,2023
MV,2,34,0,14,Ninigret,2023
MV,2,35,0,14,Ninigret,2023
MV,2,36,0,14,Ninigret,2023
MV,2,37,0,14,Ninigret,2023
MV,2,38,0,14,Ninigret,2023
MV,2,39,0,14,Ninigret,2023
MV,2,40,0,14,Ninigret,2023
MV,2,41,0,14,Ninigret,2023
MV,2,42,0,14,Ninigret,2023
MV,2,43,0,14,Ninigret,2023
MV,2,44,0,14,Ninigret,2023
MV,2,45,0,14,Ninigret,2023
MV,2,46,0,14,Ninigret,2023
MV,2,47,0,14,Ninigret,2023
MV,2,48,0,14,Ninigret,2023
MV,2,49,0,14,Ninigret,2023
MV,2,50,0,14,Ninigret,2023
MV,2,51,0,14,Ninigret,2023
MV,2,52,0,14,Ninigret,2023
MV,2,53,0,14,Ninigret,2023
MV,2,54,0,14,Ninigret,2023
MV,2,55,0,14,Ninigret,2023
MV,3,14,1,14,Ninigret,2023
MV,3,15,1,14,Ninigret,2023
MV,3,16,1,14,Ninigret,2023
MV,3,17,1,14,Ninigret,2023
MV,3,18,1,14,Ninigret,2023
MV,3,19,1,14,Ninigret,2023
MV,3,20,1,14,Ninigret,2023
MV,3,21,1,14,Ninigret,2023
MV,3,22,1,14,Ninigret,2023
MV,3,23,1,14,Ninigret,2023
MV,3,24,1,14,Ninigret,2023
MV,3,25,1,14,Ninigret,2023
MV,3,26,0,14,Ninigret,2023
MV,3,27,0,14,Ninigret,2023
MV,3,28,0,14,Ninigret,2023
MV,3,29,0,14,Ninigret,2023
MV,3,30,0,14,Ninigret,2023
MV,3,31,0,14,Ninigret,2023
MV,3,32,0,14,Ninigret,2023
MV,3,33,0,14,Ninigret,2023
MV,3,34,0,14,Ninigret,2023
MV,3,35,0,14,Ninigret,2023
MV,3,36,0,14,Ninigret,2023
MV,3,37,0,14,Ninigret,2023
MV,3,38,0,14,Ninigret,2023
MV,3,39,0,14,Ninigret,2023
MV,3,40,0,14,Ninigret,2023
MV,3,41,0,14,Ninigret,2023
MV,3,42,0,14,Ninigret,2023
MV,3,43,0,14,Ninigret,2023
MV,3,44,0,14,Ninigret,2023
MV,3,45,0,14,Ninigret,2023
MV,3,46,0,14,Ninigret,2023
MV,3,47,0,14,Ninigret,2023
MV,3,48,0,14,Ninigret,2023
MV,3,49,0,14,Ninigret,2023
MV,3,50,0,14,Ninigret,2023
MV,3,51,0,14,Ninigret,2023
MV,3,52,0,14,Ninigret,2023
MV,3,53,0,14,Ninigret,2023
MV,3,54,0,14,Ninigret,2023
MV,3,55,0,14,Ninigret,2023
CL1,1,28,1,14,Ninigret,2023
CL1,1,29,1,14,Ninigret,2023
CL1,1,30,1,14,Ninigret,2023
CL1,1,31,1,14,Ninigret,2023
CL1,1,32,1,14,Ninigret,2023
CL1,1,33,1,14,Ninigret,2023
CL1,1,34,1,14,Ninigret,2023
CL1,1,35,1,14,Ninigret,2023
CL1,1,36,1,14,Ninigret,2023
CL1,1,37,1,14,Ninigret,2023
CL1,1,38,1,14,Ninigret,2023
CL1,1,39,1,14,Ninigret,2023
CL1,1,40,1,14,Ninigret,2023
CL1,1,41,1,14,Ninigret,2023
CL1,1,42,1,14,Ninigret,2023
CL1,1,43,1,14,Ninigret,2023
CL1,1,44,0,14,Ninigret,2023
CL1,1,45,0,14,Ninigret,2023
CL1,1,46,0,14,Ninigret,2023
CL1,1,47,0,14,Ninigret,2023
CL1,1,48,0,14,Ninigret,2023
CL1,1,49,0,14,Ninigret,2023
CL1,1,50,0,14,Ninigret,2023
CL1,1,51,0,14,Ninigret,2023
CL1,1,52,0,14,Ninigret,2023
CL1,1,53,0,14,Ninigret,2023
CL1,1,54,0,14,Ninigret,2023
CL1,1,55,0,14,Ninigret,2023
CL1,2,21,1,14,Ninigret,2023
CL1,2,22,1,14,Ninigret,2023
CL1,2,23,1,14,Ninigret,2023
CL1,2,24,1,14,Ninigret,2023
CL1,2,25,1,14,Ninigret,2023
CL1,2,26,1,14,Ninigret,2023
CL1,2,27,1,14,Ninigret,2023
CL1,2,28,1,14,Ninigret,2023
CL1,2,29,1,14,Ninigret,2023
CL1,2,30,1,14,Ninigret,2023
CL1,2,31,1,14,Ninigret,2023
CL1,2,32,1,14,Ninigret,2023
CL1,2,33,1,14,Ninigret,2023
CL1,2,34,1,14,Ninigret,2023
CL1,2,35,1,14,Ninigret,2023
CL1,2,36,1,14,Ninigret,2023
CL1,2,37,1,14,Ninigret,2023
CL1,2,38,1,14,Ninigret,2023
CL1,2,39,0,14,Ninigret,2023
CL1,2,40,0,14,Ninigret,2023
CL1,2,41,0,14,Ninigret,2023
CL1,2,42,0,14,Ninigret,2023
CL1,2,43,0,14,Ninigret,2023
CL1,2,44,0,14,Ninigret,2023
CL1,2,45,0,14,Ninigret,2023
CL1,2,46,0,14,Ninigret,2023
CL1,2,47,0,14,Ninigret,2023
CL1,2,48,0,14,Ninigret,2023
CL1,2,49,0,14,Ninigret,2023
CL1,2,50,0,14,Ninigret,2023
CL1,2,51,0,14,Ninigret,2023
CL1,2,52,0,14,Ninigret,2023
CL1,2,53,0,14,Ninigret,2023
CL1,2,54,0,14,Ninigret,2023
CL1,2,55,0,14,Ninigret,2023
CL1,3,23,1,14,Ninigret,2023
CL1,3,24,1,14,Ninigret,2023
CL1,3,25,1,14,Ninigret,2023
CL1,3,26,1,14,Ninigret,2023
CL1,3,27,1,14,Ninigret,2023
CL1,3,28,1,14,Ninigret,2023
CL1,3,29,1,14,Ninigret,2023
CL1,3,30,1,14,Ninigret,2023
CL1,3,31,1,14,Ninigret,2023
CL1,3,32,1,14,Ninigret,2023
CL1,3,33,1,14,Ninigret,2023
CL1,3,34,1,14,Ninigret,2023
CL1,3,35,1,14,Ninigret,2023
CL1,3,36,1,14,Ninigret,2023
CL1,3,37,1,14,Ninigret,2023
CL1,3,38,1,14,Ninigret,2023
CL1,3,39,0,14,Ninigret,2023
CL1,3,40,0,14,Ninigret,2023
CL1,3,41,0,14,Ninigret,2023
CL1,3,42,0,14,Ninigret,2023
CL1,3,43,0,14,Ninigret,2023
CL1,3,44,0,14,Ninigret,2023
CL1,3,45,0,14,Ninigret,2023
CL1,3,46,0,14,Ninigret,2023
CL1,3,47,0,14,Ninigret,2023
CL1,3,48,0,14,Ninigret,2023
CL1,3,49,0,14,Ninigret,2023
CL1,3,50,0,14,Ninigret,2023
CL1,3,51,0,14,Ninigret,2023
CL1,3,52,0,14,Ninigret,2023
CL1,3,53,0,14,Ninigret,2023
CL1,3,54,0,14,Ninigret,2023
CL1,3,55,0,14,Ninigret,2023
