"","Population","Bag","Oyster","Status","Age","Site","Year"
"90","GH",1,90,1,13,"Wickford",2023
"91","GH",1,91,1,13,"Wickford",2023
"92","GH",1,92,1,13,"Wickford",2023
"93","GH",1,93,1,13,"Wickford",2023
"94","GH",1,94,1,13,"Wickford",2023
"95","GH",1,95,1,13,"Wickford",2023
"96","GH",1,96,1,13,"Wickford",2023
"97","GH",1,97,1,13,"Wickford",2023
"98","GH",1,98,1,13,"Wickford",2023
"99","GH",1,99,1,13,"Wickford",2023
"100","GH",1,100,1,13,"Wickford",2023
"101","GH",1,101,1,13,"Wickford",2023
"102","GH",1,102,1,13,"Wickford",2023
"103","GH",1,103,1,13,"Wickford",2023
"104","GH",1,104,1,13,"Wickford",2023
"105","GH",1,105,1,13,"Wickford",2023
"106","GH",1,106,1,13,"Wickford",2023
"107","GH",1,107,1,13,"Wickford",2023
"108","GH",1,108,1,13,"Wickford",2023
"109","GH",1,109,1,13,"Wickford",2023
"110","GH",1,110,1,13,"Wickford",2023
"111","GH",1,111,1,13,"Wickford",2023
"112","GH",1,112,1,13,"Wickford",2023
"113","GH",1,113,1,13,"Wickford",2023
"114","GH",1,114,1,16,"Wickford",2023
"115","GH",1,115,1,16,"Wickford",2023
"116","GH",1,116,1,16,"Wickford",2023
"117","GH",1,117,1,16,"Wickford",2023
"118","GH",1,118,1,16,"Wickford",2023
"119","GH",1,119,0,16,"Wickford",2023
"120","GH",1,120,0,16,"Wickford",2023
"121","GH",1,121,0,16,"Wickford",2023
"122","GH",1,122,0,16,"Wickford",2023
"123","MV",1,1,1,13,"Wickford",2023
"124","MV",1,2,1,13,"Wickford",2023
"125","MV",1,3,1,13,"Wickford",2023
"126","MV",1,4,1,13,"Wickford",2023
"127","MV",1,5,1,13,"Wickford",2023
"128","MV",1,6,1,13,"Wickford",2023
"129","MV",1,7,1,13,"Wickford",2023
"130","MV",1,8,1,13,"Wickford",2023
"131","MV",1,9,1,13,"Wickford",2023
"132","MV",1,10,1,13,"Wickford",2023
"133","MV",1,11,1,13,"Wickford",2023
"134","MV",1,12,1,13,"Wickford",2023
"135","MV",1,13,1,13,"Wickford",2023
"136","MV",1,14,1,13,"Wickford",2023
"137","MV",1,15,1,13,"Wickford",2023
"138","MV",1,16,1,13,"Wickford",2023
"139","MV",1,17,1,13,"Wickford",2023
"140","MV",1,18,1,13,"Wickford",2023
"141","MV",1,19,1,13,"Wickford",2023
"142","MV",1,20,1,13,"Wickford",2023
"143","MV",1,21,1,13,"Wickford",2023
"144","MV",1,22,1,13,"Wickford",2023
"145","MV",1,23,1,13,"Wickford",2023
"146","MV",1,24,1,13,"Wickford",2023
"147","MV",1,25,1,13,"Wickford",2023
"148","MV",1,26,1,13,"Wickford",2023
"149","MV",1,27,1,13,"Wickford",2023
"150","MV",1,28,1,13,"Wickford",2023
"151","MV",1,29,1,13,"Wickford",2023
"152","MV",1,30,1,13,"Wickford",2023
"153","MV",1,31,1,13,"Wickford",2023
"154","MV",1,32,1,13,"Wickford",2023
"155","MV",1,33,1,13,"Wickford",2023
"156","MV",1,34,1,13,"Wickford",2023
"157","MV",1,35,1,13,"Wickford",2023
"158","MV",1,36,1,16,"Wickford",2023
"159","MV",1,37,1,16,"Wickford",2023
"160","MV",1,38,1,16,"Wickford",2023
"161","MV",1,39,1,16,"Wickford",2023
"162","MV",1,40,1,16,"Wickford",2023
"163","MV",1,41,1,16,"Wickford",2023
"164","MV",1,42,1,16,"Wickford",2023
"165","MV",1,43,1,16,"Wickford",2023
"166","MV",1,44,1,16,"Wickford",2023
"167","MV",1,45,1,16,"Wickford",2023
"168","MV",1,46,1,16,"Wickford",2023
"169","MV",1,47,1,16,"Wickford",2023
"170","MV",1,48,1,16,"Wickford",2023
"171","MV",1,49,1,16,"Wickford",2023
"172","MV",1,50,1,16,"Wickford",2023
"173","MV",1,51,1,16,"Wickford",2023
"174","MV",1,52,0,16,"Wickford",2023
"175","MV",1,53,0,16,"Wickford",2023
"176","MV",1,54,0,16,"Wickford",2023
"177","MV",1,55,0,16,"Wickford",2023
"178","MV",1,56,0,16,"Wickford",2023
"179","MV",1,57,0,16,"Wickford",2023
"180","MV",1,58,0,16,"Wickford",2023
"181","MV",1,59,0,16,"Wickford",2023
"182","MV",1,60,0,16,"Wickford",2023
"183","MV",1,61,0,16,"Wickford",2023
"184","CL2",1,1,1,13,"Wickford",2023
"185","CL2",1,2,1,13,"Wickford",2023
"186","CL2",1,3,1,13,"Wickford",2023
"187","CL2",1,4,1,13,"Wickford",2023
"188","CL2",1,5,1,13,"Wickford",2023
"189","CL2",1,6,1,13,"Wickford",2023
"190","CL2",1,7,1,13,"Wickford",2023
"191","CL2",1,8,1,13,"Wickford",2023
"192","CL2",1,9,1,13,"Wickford",2023
"193","CL2",1,10,1,13,"Wickford",2023
"194","CL2",1,11,1,13,"Wickford",2023
"195","CL2",1,12,1,13,"Wickford",2023
"196","CL2",1,13,1,13,"Wickford",2023
"197","CL2",1,14,1,13,"Wickford",2023
"198","CL2",1,15,1,13,"Wickford",2023
"199","CL2",1,16,1,13,"Wickford",2023
"200","CL2",1,17,1,13,"Wickford",2023
"201","CL2",1,18,1,13,"Wickford",2023
"202","CL2",1,19,1,13,"Wickford",2023
"203","CL2",1,20,1,13,"Wickford",2023
"204","CL2",1,21,1,13,"Wickford",2023
"205","CL2",1,22,1,13,"Wickford",2023
"206","CL2",1,23,1,13,"Wickford",2023
"207","CL2",1,24,1,13,"Wickford",2023
"208","CL2",1,25,1,13,"Wickford",2023
"209","CL2",1,26,1,16,"Wickford",2023
"210","CL2",1,27,1,16,"Wickford",2023
"211","CL2",1,28,1,16,"Wickford",2023
"212","CL2",1,29,1,16,"Wickford",2023
"213","CL2",1,30,1,16,"Wickford",2023
"214","CL2",1,31,1,16,"Wickford",2023
"215","CL2",1,32,1,16,"Wickford",2023
"216","CL2",1,33,1,16,"Wickford",2023
"217","CL2",1,34,1,16,"Wickford",2023
"218","CL2",1,35,1,16,"Wickford",2023
"219","CL2",1,36,1,16,"Wickford",2023
"220","CL2",1,37,1,16,"Wickford",2023
"221","CL2",1,38,1,16,"Wickford",2023
"222","CL2",1,39,1,16,"Wickford",2023
"223","CL2",1,40,1,16,"Wickford",2023
"224","CL2",1,41,1,16,"Wickford",2023
"225","CL2",1,42,1,16,"Wickford",2023
"226","CL2",1,43,1,16,"Wickford",2023
"227","CL2",1,44,1,16,"Wickford",2023
"228","CL2",1,45,1,16,"Wickford",2023
"229","CL2",1,46,1,16,"Wickford",2023
"230","CL2",1,47,1,16,"Wickford",2023
"231","CL2",1,48,1,16,"Wickford",2023
"232","CL2",1,49,1,16,"Wickford",2023
"233","CL2",1,50,1,16,"Wickford",2023
"234","CL2",1,51,1,16,"Wickford",2023
"235","CL2",1,52,1,16,"Wickford",2023
"236","CL2",1,53,1,16,"Wickford",2023
"237","CL2",1,54,0,16,"Wickford",2023
"238","CL2",1,55,0,16,"Wickford",2023
"239","CL2",1,56,0,16,"Wickford",2023
"240","CL2",1,57,0,16,"Wickford",2023
"241","CL2",1,58,0,16,"Wickford",2023
"242","CL2",1,59,0,16,"Wickford",2023
"243","CL2",1,60,0,16,"Wickford",2023
"244","CL2",1,61,0,16,"Wickford",2023
"245","CL2",2,1,1,13,"Wickford",2023
"246","CL2",2,2,1,13,"Wickford",2023
"247","CL2",2,3,1,13,"Wickford",2023
"248","CL2",2,4,1,13,"Wickford",2023
"249","CL2",2,5,1,13,"Wickford",2023
"250","CL2",2,6,1,13,"Wickford",2023
"251","CL2",2,7,1,13,"Wickford",2023
"252","CL2",2,8,1,13,"Wickford",2023
"253","CL2",2,9,1,13,"Wickford",2023
"254","CL2",2,10,1,13,"Wickford",2023
"255","CL2",2,11,1,13,"Wickford",2023
"256","CL2",2,12,1,13,"Wickford",2023
"257","CL2",2,13,1,13,"Wickford",2023
"258","CL2",2,14,1,13,"Wickford",2023
"259","CL2",2,15,1,13,"Wickford",2023
"260","CL2",2,16,1,13,"Wickford",2023
"261","CL2",2,17,1,13,"Wickford",2023
"262","CL2",2,18,1,13,"Wickford",2023
"263","CL2",2,19,1,13,"Wickford",2023
"264","CL2",2,20,1,13,"Wickford",2023
"265","CL2",2,21,1,13,"Wickford",2023
"266","CL2",2,22,1,13,"Wickford",2023
"267","CL2",2,23,1,13,"Wickford",2023
"268","CL2",2,24,1,13,"Wickford",2023
"269","CL2",2,25,1,13,"Wickford",2023
"270","CL2",2,26,1,13,"Wickford",2023
"271","CL2",2,27,1,13,"Wickford",2023
"272","CL2",2,28,1,13,"Wickford",2023
"273","CL2",2,29,1,13,"Wickford",2023
"274","CL2",2,30,1,13,"Wickford",2023
"275","CL2",2,31,1,13,"Wickford",2023
"276","CL2",2,32,1,13,"Wickford",2023
"277","CL2",2,33,1,13,"Wickford",2023
"278","CL2",2,34,1,13,"Wickford",2023
"279","CL2",2,35,1,13,"Wickford",2023
"280","CL2",2,36,1,13,"Wickford",2023
"281","CL2",2,37,1,13,"Wickford",2023
"282","CL2",2,38,1,13,"Wickford",2023
"283","CL2",2,39,1,13,"Wickford",2023
"284","CL2",2,40,1,16,"Wickford",2023
"285","CL2",2,41,1,16,"Wickford",2023
"286","CL2",2,42,1,16,"Wickford",2023
"287","CL2",2,43,1,16,"Wickford",2023
"288","CL2",2,44,1,16,"Wickford",2023
"289","CL2",2,45,1,16,"Wickford",2023
"290","CL2",2,46,1,16,"Wickford",2023
"291","CL2",2,47,1,16,"Wickford",2023
"292","CL2",2,48,1,16,"Wickford",2023
"293","CL2",2,49,1,16,"Wickford",2023
"294","CL2",2,50,1,16,"Wickford",2023
"295","CL2",2,51,1,16,"Wickford",2023
"296","CL2",2,52,1,16,"Wickford",2023
"297","CL2",2,53,1,16,"Wickford",2023
"298","CL2",2,54,1,16,"Wickford",2023
"299","CL2",2,55,1,16,"Wickford",2023
"300","CL2",2,56,1,16,"Wickford",2023
"301","CL2",2,57,1,16,"Wickford",2023
"302","CL2",2,58,1,16,"Wickford",2023
"303","CL2",2,59,1,16,"Wickford",2023
"304","CL2",2,60,1,16,"Wickford",2023
"305","CL2",2,61,1,16,"Wickford",2023
"306","CL2",2,62,1,16,"Wickford",2023
"307","CL2",2,63,1,16,"Wickford",2023
"308","CL2",2,64,1,16,"Wickford",2023
"309","CL2",2,65,1,16,"Wickford",2023
"310","CL2",2,66,1,16,"Wickford",2023
"311","CL2",2,67,1,16,"Wickford",2023
"312","CL2",2,68,1,16,"Wickford",2023
"313","CL2",2,69,1,16,"Wickford",2023
"314","CL2",2,70,1,16,"Wickford",2023
"315","CL2",2,71,1,16,"Wickford",2023
"316","CL2",2,72,1,16,"Wickford",2023
"317","CL2",2,73,0,16,"Wickford",2023
"318","CL2",2,74,0,16,"Wickford",2023
"319","CL2",2,75,0,16,"Wickford",2023
"320","CL2",2,76,0,16,"Wickford",2023
"321","CL2",2,77,0,16,"Wickford",2023
"322","CL2",2,78,0,16,"Wickford",2023
"323","CL2",2,79,0,16,"Wickford",2023
"324","CL2",3,1,1,13,"Wickford",2023
"325","CL2",3,2,1,13,"Wickford",2023
"326","CL2",3,3,1,13,"Wickford",2023
"327","CL2",3,4,1,13,"Wickford",2023
"328","CL2",3,5,1,13,"Wickford",2023
"329","CL2",3,6,1,13,"Wickford",2023
"330","CL2",3,7,1,13,"Wickford",2023
"331","CL2",3,8,1,13,"Wickford",2023
"332","CL2",3,9,1,13,"Wickford",2023
"333","CL2",3,10,1,13,"Wickford",2023
"334","CL2",3,11,1,13,"Wickford",2023
"335","CL2",3,12,1,13,"Wickford",2023
"336","CL2",3,13,1,13,"Wickford",2023
"337","CL2",3,14,1,13,"Wickford",2023
"338","CL2",3,15,1,13,"Wickford",2023
"339","CL2",3,16,1,13,"Wickford",2023
"340","CL2",3,17,1,13,"Wickford",2023
"341","CL2",3,18,1,13,"Wickford",2023
"342","CL2",3,19,1,13,"Wickford",2023
"343","CL2",3,20,1,13,"Wickford",2023
"344","CL2",3,21,1,13,"Wickford",2023
"345","CL2",3,22,1,13,"Wickford",2023
"346","CL2",3,23,1,13,"Wickford",2023
"347","CL2",3,24,1,13,"Wickford",2023
"348","CL2",3,25,1,13,"Wickford",2023
"349","CL2",3,26,1,13,"Wickford",2023
"350","CL2",3,27,1,13,"Wickford",2023
"351","CL2",3,28,1,13,"Wickford",2023
"352","CL2",3,29,1,13,"Wickford",2023
"353","CL2",3,30,1,13,"Wickford",2023
"354","CL2",3,31,1,13,"Wickford",2023
"355","CL2",3,32,1,13,"Wickford",2023
"356","CL2",3,33,1,13,"Wickford",2023
"357","CL2",3,34,1,13,"Wickford",2023
"358","CL2",3,35,1,13,"Wickford",2023
"359","CL2",3,36,1,13,"Wickford",2023
"360","CL2",3,37,1,13,"Wickford",2023
"361","CL2",3,38,1,13,"Wickford",2023
"362","CL2",3,39,1,13,"Wickford",2023
"363","CL2",3,40,1,13,"Wickford",2023
"364","CL2",3,41,1,13,"Wickford",2023
"365","CL2",3,42,1,13,"Wickford",2023
"366","CL2",3,43,1,13,"Wickford",2023
"367","CL2",3,44,1,13,"Wickford",2023
"368","CL2",3,45,1,16,"Wickford",2023
"369","CL2",3,46,1,16,"Wickford",2023
"370","CL2",3,47,1,16,"Wickford",2023
"371","CL2",3,48,1,16,"Wickford",2023
"372","CL2",3,49,1,16,"Wickford",2023
"373","CL2",3,50,1,16,"Wickford",2023
"374","CL2",3,51,1,16,"Wickford",2023
"375","CL2",3,52,1,16,"Wickford",2023
"376","CL2",3,53,1,16,"Wickford",2023
"377","CL2",3,54,1,16,"Wickford",2023
"378","CL2",3,55,1,16,"Wickford",2023
"379","CL2",3,56,1,16,"Wickford",2023
"380","CL2",3,57,1,16,"Wickford",2023
"381","CL2",3,58,1,16,"Wickford",2023
"382","CL2",3,59,1,16,"Wickford",2023
"383","CL2",3,60,1,16,"Wickford",2023
"384","CL2",3,61,1,16,"Wickford",2023
"385","CL2",3,62,1,16,"Wickford",2023
"386","CL2",3,63,1,16,"Wickford",2023
"387","CL2",3,64,1,16,"Wickford",2023
"388","CL2",3,65,1,16,"Wickford",2023
"389","CL2",3,66,1,16,"Wickford",2023
"390","CL2",3,67,1,16,"Wickford",2023
"391","CL2",3,68,1,16,"Wickford",2023
"392","CL2",3,69,1,16,"Wickford",2023
"393","CL2",3,70,1,16,"Wickford",2023
"394","CL2",3,71,1,16,"Wickford",2023
"395","CL2",3,72,1,16,"Wickford",2023
"396","CL2",3,73,1,16,"Wickford",2023
"397","CL2",3,74,1,16,"Wickford",2023
"398","CL2",3,75,0,16,"Wickford",2023
"399","CL2",3,76,0,16,"Wickford",2023
"400","CL2",3,77,0,16,"Wickford",2023
"401","CL2",3,78,0,16,"Wickford",2023
"402","CL2",3,79,0,16,"Wickford",2023
"403","CL2",3,80,0,16,"Wickford",2023
"404","CL2",3,81,0,16,"Wickford",2023
"405","CL2",3,82,0,16,"Wickford",2023
"406","CL2",3,83,0,16,"Wickford",2023
"407","CL2",3,84,0,16,"Wickford",2023
"408","CL2",3,85,0,16,"Wickford",2023
"409","CL2",3,86,0,16,"Wickford",2023
"410","CL2",3,87,0,16,"Wickford",2023
"411","CL2",3,88,0,16,"Wickford",2023
"412","CL2",3,89,0,16,"Wickford",2023
"413","CL2",3,90,0,16,"Wickford",2023
"414","CL2",3,91,0,16,"Wickford",2023
"415","CL1",1,1,1,13,"Wickford",2023
"416","CL1",1,2,1,13,"Wickford",2023
"417","CL1",1,3,1,13,"Wickford",2023
"418","CL1",1,4,1,13,"Wickford",2023
"419","CL1",1,5,1,13,"Wickford",2023
"420","CL1",1,6,1,13,"Wickford",2023
"421","CL1",1,7,1,13,"Wickford",2023
"422","CL1",1,8,1,13,"Wickford",2023
"423","CL1",1,9,1,13,"Wickford",2023
"424","CL1",1,10,1,13,"Wickford",2023
"425","CL1",1,11,1,13,"Wickford",2023
"426","CL1",1,12,1,13,"Wickford",2023
"427","CL1",1,13,1,13,"Wickford",2023
"428","CL1",1,14,1,13,"Wickford",2023
"429","CL1",1,15,1,13,"Wickford",2023
"430","CL1",1,16,1,13,"Wickford",2023
"431","CL1",1,17,1,13,"Wickford",2023
"432","CL1",1,18,1,13,"Wickford",2023
"433","CL1",1,19,1,13,"Wickford",2023
"434","CL1",1,20,1,13,"Wickford",2023
"435","CL1",1,21,1,13,"Wickford",2023
"436","CL1",1,22,1,13,"Wickford",2023
"437","CL1",1,23,1,13,"Wickford",2023
"438","CL1",1,24,1,13,"Wickford",2023
"439","CL1",1,25,1,13,"Wickford",2023
"440","CL1",1,26,1,13,"Wickford",2023
"441","CL1",1,27,1,13,"Wickford",2023
"442","CL1",1,28,1,13,"Wickford",2023
"443","CL1",1,29,1,13,"Wickford",2023
"444","CL1",1,30,1,13,"Wickford",2023
"445","CL1",1,31,1,13,"Wickford",2023
"446","CL1",1,32,1,13,"Wickford",2023
"447","CL1",1,33,1,13,"Wickford",2023
"448","CL1",1,34,1,13,"Wickford",2023
"449","CL1",1,35,1,13,"Wickford",2023
"450","CL1",1,36,1,13,"Wickford",2023
"451","CL1",1,37,1,13,"Wickford",2023
"452","CL1",1,38,1,13,"Wickford",2023
"453","CL1",1,39,1,13,"Wickford",2023
"454","CL1",1,40,1,13,"Wickford",2023
"455","CL1",1,41,1,13,"Wickford",2023
"456","CL1",1,42,1,13,"Wickford",2023
"457","CL1",1,43,1,13,"Wickford",2023
"458","CL1",1,44,1,13,"Wickford",2023
"459","CL1",1,45,1,13,"Wickford",2023
"460","CL1",1,46,1,13,"Wickford",2023
"461","CL1",1,47,1,13,"Wickford",2023
"462","CL1",1,48,1,13,"Wickford",2023
"463","CL1",1,49,1,13,"Wickford",2023
"464","CL1",1,50,1,13,"Wickford",2023
"465","CL1",1,51,1,13,"Wickford",2023
"466","CL1",1,52,1,13,"Wickford",2023
"467","CL1",1,53,1,13,"Wickford",2023
"468","CL1",1,54,1,13,"Wickford",2023
"469","CL1",1,55,1,13,"Wickford",2023
"470","CL1",1,56,1,13,"Wickford",2023
"471","CL1",1,57,1,13,"Wickford",2023
"472","CL1",1,58,1,13,"Wickford",2023
"473","CL1",1,59,1,13,"Wickford",2023
"474","CL1",1,60,1,13,"Wickford",2023
"475","CL1",1,61,1,13,"Wickford",2023
"476","CL1",1,62,1,13,"Wickford",2023
"477","CL1",1,63,1,13,"Wickford",2023
"478","CL1",1,64,1,13,"Wickford",2023
"479","CL1",1,65,1,13,"Wickford",2023
"480","CL1",1,66,1,13,"Wickford",2023
"481","CL1",1,67,1,13,"Wickford",2023
"482","CL1",1,68,1,13,"Wickford",2023
"483","CL1",1,69,1,13,"Wickford",2023
"484","CL1",1,70,1,13,"Wickford",2023
"485","CL1",1,71,1,13,"Wickford",2023
"486","CL1",1,72,1,13,"Wickford",2023
"487","CL1",1,73,1,13,"Wickford",2023
"488","CL1",1,74,1,13,"Wickford",2023
"489","CL1",1,75,1,13,"Wickford",2023
"490","CL1",1,76,1,13,"Wickford",2023
"491","CL1",1,77,1,13,"Wickford",2023
"492","CL1",1,78,1,13,"Wickford",2023
"493","CL1",1,79,1,13,"Wickford",2023
"494","CL1",1,80,1,13,"Wickford",2023
"495","CL1",1,81,1,13,"Wickford",2023
"496","CL1",1,82,1,13,"Wickford",2023
"497","CL1",1,83,1,13,"Wickford",2023
"498","CL1",1,84,1,13,"Wickford",2023
"499","CL1",1,85,1,13,"Wickford",2023
"500","CL1",1,86,1,13,"Wickford",2023
"501","CL1",1,87,1,13,"Wickford",2023
"502","CL1",1,88,1,13,"Wickford",2023
"503","CL1",1,89,1,13,"Wickford",2023
"504","CL1",1,90,1,13,"Wickford",2023
"505","CL1",1,91,1,13,"Wickford",2023
"506","CL1",1,92,1,13,"Wickford",2023
"507","CL1",1,93,1,13,"Wickford",2023
"508","CL1",1,94,1,13,"Wickford",2023
"509","CL1",1,95,1,13,"Wickford",2023
"510","CL1",1,96,1,13,"Wickford",2023
"511","CL1",1,97,1,13,"Wickford",2023
"512","CL1",1,98,1,13,"Wickford",2023
"513","CL1",1,99,1,13,"Wickford",2023
"514","CL1",1,100,1,13,"Wickford",2023
"515","CL1",1,101,1,13,"Wickford",2023
"516","CL1",1,102,1,13,"Wickford",2023
"517","CL1",1,103,1,13,"Wickford",2023
"518","CL1",1,104,1,13,"Wickford",2023
"519","CL1",1,105,1,13,"Wickford",2023
"520","CL1",1,106,1,13,"Wickford",2023
"521","CL1",1,107,1,13,"Wickford",2023
"522","CL1",1,108,1,13,"Wickford",2023
"523","CL1",1,109,1,13,"Wickford",2023
"524","CL1",1,110,1,13,"Wickford",2023
"525","CL1",1,111,1,13,"Wickford",2023
"526","CL1",1,112,1,13,"Wickford",2023
"527","CL1",1,113,1,13,"Wickford",2023
"528","CL1",1,114,1,13,"Wickford",2023
"529","CL1",1,115,1,13,"Wickford",2023
"530","CL1",1,116,1,13,"Wickford",2023
"531","CL1",1,117,1,13,"Wickford",2023
"532","CL1",1,118,1,13,"Wickford",2023
"533","CL1",1,119,1,13,"Wickford",2023
"534","CL1",1,120,1,13,"Wickford",2023
"535","CL1",1,121,1,13,"Wickford",2023
"536","CL1",1,122,1,13,"Wickford",2023
"537","CL1",1,123,1,13,"Wickford",2023
"538","CL1",1,124,1,13,"Wickford",2023
"539","CL1",1,125,1,13,"Wickford",2023
"540","CL1",1,126,1,13,"Wickford",2023
"541","CL1",1,127,1,13,"Wickford",2023
"542","CL1",1,128,1,13,"Wickford",2023
"543","CL1",1,129,1,13,"Wickford",2023
"544","CL1",1,130,1,13,"Wickford",2023
"545","CL1",1,131,1,13,"Wickford",2023
"546","CL1",1,132,1,13,"Wickford",2023
"547","CL1",1,133,1,13,"Wickford",2023
"548","CL1",1,134,1,13,"Wickford",2023
"549","CL1",1,135,1,13,"Wickford",2023
"550","CL1",1,136,1,13,"Wickford",2023
"551","CL1",1,137,1,13,"Wickford",2023
"552","CL1",1,138,1,13,"Wickford",2023
"553","CL1",1,139,1,13,"Wickford",2023
"554","CL1",1,140,1,13,"Wickford",2023
"555","CL1",1,141,1,13,"Wickford",2023
"556","CL1",1,142,1,13,"Wickford",2023
"557","CL1",1,143,1,13,"Wickford",2023
"558","CL1",1,144,1,13,"Wickford",2023
"559","CL1",1,145,1,13,"Wickford",2023
"560","CL1",1,146,1,13,"Wickford",2023
"561","CL1",1,147,1,13,"Wickford",2023
"562","CL1",1,148,1,13,"Wickford",2023
"563","CL1",1,149,1,13,"Wickford",2023
"564","CL1",1,150,1,13,"Wickford",2023
"565","CL1",1,151,1,13,"Wickford",2023
"566","CL1",1,152,1,13,"Wickford",2023
"567","CL1",1,153,1,13,"Wickford",2023
"568","CL1",1,154,1,13,"Wickford",2023
"569","CL1",1,155,1,13,"Wickford",2023
"570","CL1",1,156,1,13,"Wickford",2023
"571","CL1",1,157,1,13,"Wickford",2023
"572","CL1",1,158,1,13,"Wickford",2023
"573","CL1",1,159,1,13,"Wickford",2023
"574","CL1",1,160,1,13,"Wickford",2023
"575","CL1",1,161,1,13,"Wickford",2023
"576","CL1",1,162,1,13,"Wickford",2023
"577","CL1",1,163,1,13,"Wickford",2023
"578","CL1",1,164,1,13,"Wickford",2023
"579","CL1",1,165,1,13,"Wickford",2023
"580","CL1",1,166,1,13,"Wickford",2023
"581","CL1",1,167,1,13,"Wickford",2023
"582","CL1",1,168,1,13,"Wickford",2023
"583","CL1",1,169,1,13,"Wickford",2023
"584","CL1",1,170,1,13,"Wickford",2023
"585","CL1",1,171,1,13,"Wickford",2023
"586","CL1",1,172,1,13,"Wickford",2023
"587","CL1",1,173,1,13,"Wickford",2023
"588","CL1",1,174,1,13,"Wickford",2023
